Origin,Mode,Year,Value,Tons,Total_miles,Mean_miles
Pennsylvania,Private truck,2007,153746,207509,11463,54
Pennsylvania,Rail,2012,11971,33895,15856,656
Pennsylvania,Rail,2007,18514,53673,21077,822
Pennsylvania,Water,2012,S,3517,201,S
Pennsylvania,Water,2007,S,S,S,S
Pennsylvania,Inland water,2012,S,S,98,S
Pennsylvania,Inland water,2007,S,S,S,S
Pennsylvania,Multiple Waterways,2012,S,S,S,S
Pennsylvania,Multiple Waterways,2007,X,X,X,X
Pennsylvania,Air (incl truck and air),2012,11288,135,112,928
Pennsylvania,Air (incl truck and air),2007,4136,69,107,1194
Pennsylvania,Pipeline,2012,S,S,S,S
Pennsylvania,Pipeline,2007,6713,16997,S,S
Pennsylvania,Multiple modes,2012,74953,20690,9542,669
Pennsylvania,Multiple modes,2007,75080,13269,9732,886
Pennsylvania,"Parcel, U.S.P.S. or courier",2012,71921,1772,932,669
Pennsylvania,"Parcel, U.S.P.S. or courier",2007,68187,1561,1126,886
Pennsylvania,Truck and rail,2012,1758,2595,1577,666
Pennsylvania,Truck and rail,2007,3238,S,3873,962
Pennsylvania,Truck and water,2012,287,142,114,2708
Pennsylvania,Truck and water,2007,S,S,S,2647
Pennsylvania,Rail and water,2012,987,16180,6921,S
Pennsylvania,Rail and water,2007,S,S,S,5838
Pennsylvania,Other multiple modes,2012,0,0,0,0
Pennsylvania,Other multiple modes,2007,S,S,S,S
Pennsylvania,Other modes,2012,0,0,0,0
Pennsylvania,Other modes,2007,9109,3860,1781,173
Rhode Island,All modes,2012,45575,26719,1882,381
Rhode Island,All modes,2007,28662,13335,1945,591
Rhode Island,Single modes,2012,39441,26651,1813,139
Rhode Island,Single modes,2007,23199,12791,1580,130
Rhode Island,Truck,2012,37770,26629,1775,129
Rhode Island,Truck,2007,22634,12712,1543,120
Rhode Island,For-hire truck,2012,26109,16325,1326,573
Rhode Island,For-hire truck,2007,11169,4993,1290,737
Rhode Island,Private truck,2012,11661,10303,449,17
Rhode Island,Private truck,2007,11464,7720,253,23
Rhode Island,Rail,2012,27,14,28,2348
Rhode Island,Rail,2007,S,S,S,S
Rhode Island,Water,2012,S,S,S,S
Rhode Island,Water,2007,0,0,0,0
Rhode Island,Inland water,2012,S,S,S,S
Rhode Island,Inland water,2007,0,0,0,0
Rhode Island,Air (incl truck and air),2012,S,8,10,1377
Rhode Island,Air (incl truck and air),2007,476,9,10,1054
Rhode Island,Multiple modes,2012,6133,68,69,914
Rhode Island,Multiple modes,2007,5212,S,S,1087
Rhode Island,"Parcel, U.S.P.S. or courier",2012,6123,63,55,914
Rhode Island,"Parcel, U.S.P.S. or courier",2007,5045,115,122,1088
Rhode Island,Truck and rail,2012,8,5,13,2597
Rhode Island,Truck and rail,2007,S,S,S,704
Rhode Island,Truck and water,2012,S,S,S,S
Rhode Island,Truck and water,2007,75,S,5,S
Rhode Island,Other modes,2012,0,0,0,0
Rhode Island,Other modes,2007,251,S,33,S
South Carolina,All modes,2012,159760,99936,26526,567
South Carolina,All modes,2007,155619,144297,30835,552
South Carolina,Single modes,2012,140680,96532,23745,255
South Carolina,Single modes,2007,136910,138090,26477,409
South Carolina,Truck,2012,125987,90393,20524,232
South Carolina,Truck,2007,129869,127930,22291,394
South Carolina,For-hire truck,2012,85263,44690,17860,495
South Carolina,For-hire truck,2007,88493,58482,15127,911
South Carolina,Private truck,2012,40724,45703,2664,51
South Carolina,Private truck,2007,41376,69448,7163,217
South Carolina,Rail,2012,8633,6016,3057,534
South Carolina,Rail,2007,5628,10054,3938,548
South Carolina,Water,2012,52,33,40,1202
South Carolina,Water,2007,S,S,S,S
South Carolina,Deep sea,2012,0,0,0,0
South Carolina,Deep sea,2007,S,S,S,S
South Carolina,Multiple Waterways,2012,52,33,40,1202
South Carolina,Multiple Waterways,2007,X,X,X,X
South Carolina,Air (incl truck and air),2012,S,90,S,1272
South Carolina,Air (incl truck and air),2007,1318,43,69,917
South Carolina,Pipeline,2012,0,0,S,S
South Carolina,Pipeline,2007,14,38,S,S
South Carolina,Multiple modes,2012,19080,3404,2781,817
South Carolina,Multiple modes,2007,16217,S,4104,833
South Carolina,"Parcel, U.S.P.S. or courier",2012,14317,283,211,817
South Carolina,"Parcel, U.S.P.S. or courier",2007,11364,351,268,832
South Carolina,Truck and rail,2012,4690,3094,2533,817
South Carolina,Truck and rail,2007,4464,S,S,873
South Carolina,Truck and water,2012,73,27,38,1454
South Carolina,Truck and water,2007,379,79,94,1559
South Carolina,Rail and water,2012,0,0,0,0
South Carolina,Rail and water,2007,S,S,S,S
South Carolina,Other multiple modes,2012,0,0,0,0
South Carolina,Other multiple modes,2007,S,S,S,S
South Carolina,Other modes,2012,0,0,0,0
South Carolina,Other modes,2007,2491,1283,255,S
South Dakota,All modes,2012,58621,70357,27891,328
South Dakota,All modes,2007,26677,52093,21268,354
South Dakota,Single modes,2012,52026,67418,23614,90
South Dakota,Single modes,2007,22611,49287,18135,165
South Dakota,Truck,2012,47004,53324,6030,86
South Dakota,Truck,2007,20452,40882,6379,152
South Dakota,For-hire truck,2012,28675,24057,4517,134
South Dakota,For-hire truck,2007,12455,21323,5000,443
South Dakota,Private truck,2012,18329,29267,1512,50
South Dakota,Private truck,2007,7997,19559,1379,58
South Dakota,Rail,2012,4770,14085,17571,1070
South Dakota,Rail,2007,2095,8405,11755,1337
South Dakota,Air (incl truck and air),2012,S,S,S,1646
South Dakota,Air (incl truck and air),2007,64,1,1,1590
South Dakota,Multiple modes,2012,6595,2939,4277,754
South Dakota,Multiple modes,2007,3482,2159,3079,722
South Dakota,"Parcel, U.S.P.S. or courier",2012,S,60,45,753
South Dakota,"Parcel, U.S.P.S. or courier",2007,2685,75,52,720
South Dakota,Truck and rail,2012,1464,2878,4232,1091
South Dakota,Truck and rail,2007,792,2083,3022,1376
South Dakota,Truck and water,2012,S,S,S,1764
South Dakota,Truck and water,2007,4,1,4,3543
South Dakota,Other modes,2012,0,0,0,0
South Dakota,Other modes,2007,585,S,53,35
Tennessee,All modes,2012,329399,187514,48264,653
Tennessee,All modes,2007,433270,328935,67397,623
Tennessee,Single modes,2012,279376,180488,43251,263
Tennessee,Single modes,2007,370535,313831,59836,268
Tennessee,Truck,2012,257154,164355,32646,230
Tennessee,Truck,2007,355137,298742,51159,242
Tennessee,For-hire truck,2012,191666,97096,28262,417
Tennessee,For-hire truck,2007,289638,168907,44714,596
Tennessee,Private truck,2012,65488,67258,4384,57
Tennessee,Private truck,2007,65498,129835,6446,67
Tennessee,Rail,2012,S,12391,8268,843
Tennessee,Rail,2007,4664,11427,7450,745
Tennessee,Water,2012,1398,3568,S,S
Tennessee,Water,2007,709,3558,1199,S
Tennessee,Inland water,2012,1342,S,S,442
Tennessee,Inland water,2007,709,3558,1199,S
Tennessee,Multiple Waterways,2012,56,148,298,2011
Tennessee,Multiple Waterways,2007,X,X,X,X
Tennessee,Air (incl truck and air),2012,5492,48,57,1180
Tennessee,Air (incl truck and air),2007,10008,30,26,959
Tennessee,Pipeline,2012,12,S,S,S
Tennessee,Pipeline,2007,S,S,S,S
Tennessee,Multiple modes,2012,50024,7025,5013,843
Tennessee,Multiple modes,2007,56784,8089,6706,881
Tennessee,"Parcel, U.S.P.S. or courier",2012,40020,826,671,842
Tennessee,"Parcel, U.S.P.S. or courier",2007,51552,998,812,881
Tennessee,Truck and rail,2012,9313,4748,3173,938
Tennessee,Truck and rail,2007,4284,3598,2928,940
Tennessee,Truck and water,2012,S,S,S,2356
Tennessee,Truck and water,2007,S,S,S,3225
Tennessee,Rail and water,2012,S,S,S,S
Tennessee,Rail and water,2007,S,S,S,1076
Tennessee,Other multiple modes,2012,0,0,0,0
Tennessee,Other multiple modes,2007,22,S,S,S
Tennessee,Other modes,2012,0,0,0,0
Tennessee,Other modes,2007,5950,7015,854,S
Texas,All modes,2012,1897658,1686264,243743,481
Texas,All modes,2007,1166608,1338753,252819,553
Texas,Single modes,2012,1731204,1657647,211957,238
Texas,Single modes,2007,974047,1215296,210701,176
Texas,Truck,2012,1251071,1090688,119476,203
Texas,Truck,2007,692717,765518,110160,157
Texas,For-hire truck,2012,757034,582156,91868,420
Texas,For-hire truck,2007,394737,335829,85250,358
Texas,Private truck,2012,494037,508532,27608,55
Texas,Private truck,2007,297980,429689,24910,58
Texas,Rail,2012,78194,123888,54191,683
Texas,Rail,2007,75871,153046,70343,724
Texas,Water,2012,125452,176742,25185,S
Texas,Water,2007,31287,60170,11141,S
Texas,Inland water,2012,106147,144228,15494,S
Texas,Inland water,2007,24402,49349,1841,S
Texas,Deep sea,2012,16261,28911,7786,S
Texas,Deep sea,2007,6886,10821,9300,2237
Texas,Multiple Waterways,2012,3044,3603,1905,428
Texas,Multiple Waterways,2007,X,X,X,X
Texas,Air (incl truck and air),2012,49259,297,404,1272
Texas,Air (incl truck and air),2007,22015,220,323,1223
Texas,Pipeline,2012,227229,266031,S,S
Texas,Pipeline,2007,152157,236342,S,S
Texas,Multiple modes,2012,166454,28617,S,784
Texas,Multiple modes,2007,155352,87550,39329,969
Texas,"Parcel, U.S.P.S. or courier",2012,144429,2214,1580,783
Texas,"Parcel, U.S.P.S. or courier",2007,104632,2453,1843,970
Texas,Truck and rail,2012,18973,21712,15646,884
Texas,Truck and rail,2007,14494,17263,13775,558
Texas,Truck and water,2012,S,S,S,3763
Texas,Truck and water,2007,7466,17923,4259,2342
Texas,Rail and water,2012,1370,1714,1151,749
Texas,Rail and water,2007,7448,15217,9546,1655
Texas,Other multiple modes,2012,0,0,0,0
Texas,Other multiple modes,2007,21312,34694,9906,397
Texas,Other modes,2012,0,0,0,0
Texas,Other modes,2007,37209,35907,2790,76
Utah,All modes,2012,108593,89129,29911,1201
Utah,All modes,2007,106690,123245,40249,1180
Utah,Single modes,2012,84925,77795,25298,473
Utah,Single modes,2007,84999,118834,36417,206
Utah,Truck,2012,71145,50912,13102,391
Utah,Truck,2007,63493,79625,13250,166
Utah,For-hire truck,2012,48260,30094,9985,760
Utah,For-hire truck,2007,37160,36097,11006,643
Utah,Private truck,2012,22884,20819,S,49
Utah,Private truck,2007,26332,43529,2244,45
Utah,Rail,2012,4969,S,S,965
Utah,Rail,2007,S,33058,22768,737
Utah,Air (incl truck and air),2012,4360,S,S,1542
Utah,Air (incl truck and air),2007,3028,29,S,1380
Utah,Pipeline,2012,4452,7859,S,S
Utah,Pipeline,2007,3296,6121,S,S
Utah,Multiple modes,2012,23521,S,4490,1411
Utah,Multiple modes,2007,18504,3632,3426,1459
Utah,"Parcel, U.S.P.S. or courier",2012,22008,310,375,1411
Utah,"Parcel, U.S.P.S. or courier",2007,15296,350,409,1459
Utah,Truck and rail,2012,973,S,1822,1385
Utah,Truck and rail,2007,S,3265,2937,1132
Utah,Truck and water,2012,222,40,121,2882
Utah,Truck and water,2007,S,10,35,2918
Utah,Rail and water,2012,S,S,S,2015
Utah,Rail and water,2007,0,0,0,0
Utah,Other multiple modes,2012,0,0,0,0
Utah,Other multiple modes,2007,S,S,S,7100
Utah,Other modes,2012,147,4207,124,29
Utah,Other modes,2007,S,779,S,237
Vermont,All modes,2012,24980,17862,3324,470
Vermont,All modes,2007,17919,16034,3643,618
Vermont,Single modes,2012,20738,17753,3204,121
Vermont,Single modes,2007,15051,14903,3509,121
Vermont,Truck,2012,18912,16805,2428,106
Vermont,Truck,2007,14407,13676,2281,112
Vermont,For-hire truck,2012,11198,8726,2036,324
Vermont,For-hire truck,2007,6344,3768,1914,669
Vermont,Private truck,2012,7714,8078,392,42
Vermont,Private truck,2007,8063,9908,367,35
Vermont,Rail,2012,138,945,772,466
Vermont,Rail,2007,97,1186,1226,921
Vermont,Air (incl truck and air),2012,1688,3,3,1362
Vermont,Air (incl truck and air),2007,515,2,2,1244
Vermont,Pipeline,2012,0,0,S,S
Vermont,Pipeline,2007,S,S,S,S
Vermont,Multiple modes,2012,4242,109,120,830
Vermont,Multiple modes,2007,2582,88,83,1101
Vermont,"Parcel, U.S.P.S. or courier",2012,3474,54,37,842
Vermont,"Parcel, U.S.P.S. or courier",2007,2530,54,50,1101
Vermont,Truck and rail,2012,S,54,S,S
Vermont,Truck and rail,2007,5,S,S,S
Vermont,Truck and water,2012,25,S,S,S
Vermont,Truck and water,2007,48,10,S,S
Vermont,Other modes,2012,0,0,0,0
Vermont,Other modes,2007,286,S,52,S
Virginia,All modes,2012,238576,173461,30082,395
Virginia,All modes,2007,194444,246958,50629,626
Virginia,Single modes,2012,213437,171426,28949,106
Virginia,Single modes,2007,162401,240047,47987,388
Virginia,Truck,2012,203978,151169,21053,102
Virginia,Truck,2007,156076,188599,25963,375
Virginia,For-hire truck,2012,130420,72716,17376,176
Virginia,For-hire truck,2007,85662,92291,20002,910
Virginia,Private truck,2012,73559,78453,3677,47
Virginia,Private truck,2007,70415,96307,5961,53
Virginia,Rail,2012,3565,18871,7736,414
Virginia,Rail,2007,4262,51261,21942,471
Virginia,Water,2012,473,1200,108,96
Virginia,Water,2007,35,92,S,S
Virginia,Inland water,2012,415,961,84,96
Virginia,Inland water,2007,0,0,0,0
Virginia,Deep sea,2012,0,0,0,0
Virginia,Deep sea,2007,35,92,S,S
Virginia,Multiple Waterways,2012,S,S,S,102
Virginia,Multiple Waterways,2007,X,X,X,X
Virginia,Air (incl truck and air),2012,5404,41,48,1184
Virginia,Air (incl truck and air),2007,2001,S,S,1504
Virginia,Pipeline,2012,S,S,S,S
Virginia,Pipeline,2007,26,S,S,S
Virginia,Multiple modes,2012,25138,2035,1132,796
Virginia,Multiple modes,2007,26897,5146,1919,890
Virginia,"Parcel, U.S.P.S. or courier",2012,24287,453,291,796
Virginia,"Parcel, U.S.P.S. or courier",2007,24584,498,357,890
Virginia,Truck and rail,2012,496,1414,662,1078
Virginia,Truck and rail,2007,593,2255,1151,869
Virginia,Truck and water,2012,S,S,S,3666
Virginia,Truck and water,2007,S,S,S,S
Virginia,Rail and water,2012,S,S,S,S
Virginia,Rail and water,2007,S,S,S,S
Virginia,Other multiple modes,2012,0,0,0,0
Virginia,Other multiple modes,2007,S,39,5,134
Virginia,Other modes,2012,0,0,0,0
Virginia,Other modes,2007,5146,1766,723,42
Washington,All modes,2012,296901,183138,46771,1131
Washington,All modes,2007,215515,244906,62811,1143
Washington,Single modes,2012,234052,172005,39225,469
Washington,Single modes,2007,164003,207406,43651,463
Washington,Truck,2012,150146,127349,23939,437
Washington,Truck,2007,127098,178612,28746,376
Washington,For-hire truck,2012,84656,59122,21425,1059
Washington,For-hire truck,2007,70527,73077,24873,1037
Washington,Private truck,2012,65490,68227,2514,36
Washington,Private truck,2007,56570,105536,3873,41
Washington,Rail,2012,8840,16706,9891,1444
Washington,Rail,2007,5218,9357,7970,1187
Washington,Water,2012,4548,10087,5037,1464
Washington,Water,2007,3717,8354,S,1560
Washington,Inland water,2012,S,6469,S,159
Washington,Inland water,2007,S,3952,S,146
Washington,Deep sea,2012,2881,2532,2135,1470
Washington,Deep sea,2007,2412,S,S,1580
Washington,Multiple Waterways,2012,S,S,S,2516
Washington,Multiple Waterways,2007,X,X,X,X
Washington,Air (incl truck and air),2012,56529,96,129,1550
Washington,Air (incl truck and air),2007,S,61,116,2228
Washington,Pipeline,2012,13988,17768,S,S
Washington,Pipeline,2007,7899,11022,S,S
Washington,Multiple modes,2012,62849,11133,7546,1565
Washington,Multiple modes,2007,46714,27781,18752,1626
Washington,"Parcel, U.S.P.S. or courier",2012,51905,572,768,1563
Washington,"Parcel, U.S.P.S. or courier",2007,32965,585,695,1625
Washington,Truck and rail,2012,7119,6253,4934,2253
Washington,Truck and rail,2007,4322,2986,4773,1905
Washington,Truck and water,2012,3503,S,1472,2261
Washington,Truck and water,2007,5995,9401,S,1981
Washington,Rail and water,2012,S,S,S,349
Washington,Rail and water,2007,S,S,S,S
Washington,Other multiple modes,2012,0,0,0,0
Washington,Other multiple modes,2007,S,S,S,S
Washington,Other modes,2012,0,0,0,0
Washington,Other modes,2007,4798,9719,408,80
West Virginia,All modes,2012,54759,174741,56674,448
West Virginia,All modes,2007,49842,222895,85627,689
West Virginia,Single modes,2012,50782,162874,50744,123
West Virginia,Single modes,2007,42721,200687,75105,144
West Virginia,Truck,2012,39476,54550,6483,120
West Virginia,Truck,2007,32332,49751,6332,139
West Virginia,For-hire truck,2012,26666,26261,4818,201
West Virginia,For-hire truck,2007,20795,27434,5131,351
West Virginia,Private truck,2012,12811,28289,1666,49
West Virginia,Private truck,2007,11538,22318,1200,61
West Virginia,Rail,2012,9532,99808,42532,497
West Virginia,Rail,2007,9262,139394,66958,453
West Virginia,Water,2012,1132,8339,1724,S
West Virginia,Water,2007,743,S,1784,419
West Virginia,Inland water,2012,1084,8312,1674,S
West Virginia,Inland water,2007,743,S,1784,419
West Virginia,Multiple Waterways,2012,S,S,S,S
West Virginia,Multiple Waterways,2007,X,X,X,X
West Virginia,Air (incl truck and air),2012,631,3,3,1161
West Virginia,Air (incl truck and air),2007,S,S,S,1203
West Virginia,Pipeline,2012,11,S,S,S
West Virginia,Pipeline,2007,156,S,S,S
West Virginia,Multiple modes,2012,3977,11866,5930,774
West Virginia,Multiple modes,2007,6087,20578,10426,995
West Virginia,"Parcel, U.S.P.S. or courier",2012,2552,59,36,775
West Virginia,"Parcel, U.S.P.S. or courier",2007,3863,89,71,997
West Virginia,Truck and rail,2012,206,239,215,1179
West Virginia,Truck and rail,2007,1339,S,1362,1528
West Virginia,Truck and water,2012,97,S,S,S
West Virginia,Truck and water,2007,103,1523,257,S
West Virginia,Rail and water,2012,794,7794,3523,526
West Virginia,Rail and water,2007,S,S,S,589
West Virginia,Other multiple modes,2012,328,2414,1666,690
West Virginia,Other multiple modes,2007,S,2435,2467,1410
West Virginia,Other modes,2012,0,0,0,0
West Virginia,Other modes,2007,1034,1630,97,S
Wisconsin,All modes,2012,311937,234984,53485,641
Wisconsin,All modes,2007,263658,203766,64301,588
Wisconsin,Single modes,2012,277195,230096,48873,313
Wisconsin,Single modes,2007,221345,189832,51943,232
Wisconsin,Truck,2012,253057,199171,35408,275
Wisconsin,Truck,2007,214839,170402,37728,211
Wisconsin,For-hire truck,2012,173671,118110,30421,521
Wisconsin,For-hire truck,2007,137736,84667,30849,544
Wisconsin,Private truck,2012,79386,81060,4987,56
Wisconsin,Private truck,2007,77103,85734,6879,75
Wisconsin,Rail,2012,6912,19265,13157,1108
Wisconsin,Rail,2007,3537,18870,13557,824
Wisconsin,Water,2012,42,658,16,25
Wisconsin,Water,2007,S,S,S,1491
Wisconsin,Inland water,2012,42,658,16,25
Wisconsin,Inland water,2007,22,S,S,1495
Wisconsin,Great Lakes,2012,0,0,0,0
Wisconsin,Great Lakes,2007,S,S,S,S
Wisconsin,Air (incl truck and air),2012,7217,149,152,1118
Wisconsin,Air (incl truck and air),2007,2834,41,49,1094
Wisconsin,Pipeline,2012,9966,10853,S,S
Wisconsin,Pipeline,2007,S,S,S,S
Wisconsin,Multiple modes,2012,34742,4888,4612,844
Wisconsin,Multiple modes,2007,36297,S,S,901
Wisconsin,"Parcel, U.S.P.S. or courier",2012,30128,866,653,843
Wisconsin,"Parcel, U.S.P.S. or courier",2007,31687,759,602,899
Wisconsin,Truck and rail,2012,4331,3981,3854,1237
Wisconsin,Truck and rail,2007,4055,S,S,1182
Wisconsin,Truck and water,2012,283,40,104,2184
Wisconsin,Truck and water,2007,424,S,981,3989
Wisconsin,Rail and water,2012,0,0,0,0
Wisconsin,Rail and water,2007,S,S,S,4153
Wisconsin,Other multiple modes,2012,0,0,0,0
Wisconsin,Other multiple modes,2007,S,S,S,2619
Wisconsin,Other modes,2012,0,0,0,0
Wisconsin,Other modes,2007,6016,1984,734,75
Wyoming,All modes,2012,25470,421925,461804,412
Wyoming,All modes,2007,23753,550886,559160,514
Wyoming,Single modes,2012,24246,411247,460849,147
Wyoming,Single modes,2007,20720,529234,549472,174
Wyoming,Truck,2012,13111,15308,5871,104
Wyoming,Truck,2007,12555,30718,7166,105
Wyoming,For-hire truck,2012,8092,9548,5128,226
Wyoming,For-hire truck,2007,5181,15849,5986,415
Wyoming,Private truck,2012,5019,5760,743,50
Wyoming,Private truck,2007,7374,14870,1180,57
Wyoming,Rail,2012,8667,393344,454929,1374
Wyoming,Rail,2007,6485,484873,538992,1193
Wyoming,Air (incl truck and air),2012,15,Z,Z,1544
Wyoming,Air (incl truck and air),2007,18,Z,1,1565
Wyoming,Pipeline,2012,S,S,S,S
Wyoming,Pipeline,2007,1662,13642,S,S
Wyoming,Multiple modes,2012,957,745,S,840
Wyoming,Multiple modes,2007,1727,S,S,1013
Wyoming,"Parcel, U.S.P.S. or courier",2012,882,18,15,840
Wyoming,"Parcel, U.S.P.S. or courier",2007,S,24,22,1012
Wyoming,Truck and rail,2012,68,339,384,1400
Wyoming,Truck and rail,2007,39,183,208,1109
Wyoming,Truck and water,2012,S,S,S,S
Wyoming,Truck and water,2007,S,S,S,S
Wyoming,Rail and water,2012,S,S,S,S
Wyoming,Rail and water,2007,S,S,S,S
Wyoming,Other modes,2012,268,9934,26,2
Wyoming,Other modes,2007,S,S,S,S
